# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_dcdm           16:gr.fac. D             17:gr.fac. f          
       1.000000000000e+14       7.558503632224e-26       4.634785000235e-09       2.157545946648e+22       1.409911927564e+04       1.409911927564e-10       1.409911927564e+18       2.675958164815e-09       2.751560535470e+44       2.492536402570e+33       1.333044580265e+34       3.760732865345e-08       1.903443976270e+44       4.655004511898e+44       1.334378959224e+31       5.370564074879e-18       2.000000000017e+00 
       9.930486593843e+13       7.664693049753e-26       4.667526809499e-09       2.127654528182e+22       1.409911927564e+04       1.419781311057e-10       1.400111149517e+18       2.694689871968e-09       2.675846458098e+44       2.440917483316e+33       1.305438034386e+34       3.760732865345e-08       1.851067333040e+44       4.526913791294e+44       1.306744779166e+31       5.446015129567e-18       2.000000000016e+00 
       9.861456399050e+13       7.772374322409e-26       4.700268618762e-09       2.098177236191e+22       1.409911927564e+04       1.429719780234e-10       1.390378500017e+18       2.713552701072e-09       2.602215788102e+44       2.390367560615e+33       1.278403203353e+34       3.760732865345e-08       1.800131926217e+44       4.402347714470e+44       1.279682886239e+31       5.522526196123e-18       2.000000000014e+00 
       9.792906056653e+13       7.881568409264e-26       4.733010428026e-09       2.069108333218e+22       1.409911927564e+04       1.439727818696e-10       1.380713505479e+18       2.732547569979e-09       2.530611196824e+44       2.340864496198e+33       1.251928247296e+34       3.760732865345e-08       1.750598097619e+44       4.281209294592e+44       1.253181428725e+31       5.600112166653e-18       2.000000000013e+00 
       9.724832231036e+13       7.992296563846e-26       4.765752237290e-09       2.040442161294e+22       1.409911927564e+04       1.449805913427e-10       1.371115695609e+18       2.751675402969e-09       2.460976933110e+44       2.292386610262e+33       1.226001571544e+34       3.760732865345e-08       1.702427280332e+44       4.163404213587e+44       1.227228800344e+31       5.678788142483e-18       2.000000000012e+00 
       9.657231609767e+13       8.104580338272e-26       4.800313035958e-09       2.012173140839e+22       1.409911927564e+04       1.459954554820e-10       1.361584603386e+18       2.770937130790e-09       2.393258779894e+44       2.244912671983e+33       1.200611821544e+34       3.760732865345e-08       1.655581968676e+44       4.048840748713e+44       1.201813635179e+31       5.758569437097e-18       2.000000000011e+00 
       9.590100903443e+13       8.218441587444e-26       4.833054845221e-09       1.984295769572e+22       1.409911927564e+04       1.470174236704e-10       1.352119765030e+18       2.790333690705e-09       2.327404011992e+44       2.198421890211e+33       1.175747877889e+34       3.760732865345e-08       1.610025689010e+44       3.937429701143e+44       1.176924802691e+31       5.839471579119e-18       2.000000000010e+00 
       9.523436845525e+13       8.333902473306e-26       4.867615643889e-09       1.956804621446e+22       1.409911927564e+04       1.480465456361e-10       1.342720719990e+18       2.809866026540e-09       2.263361355047e+44       2.152893904373e+33       1.151398851447e+34       3.760732865345e-08       1.565722971329e+44       3.829084326512e+44       1.152551402850e+31       5.921510315335e-18       2.000000000009e+00 
       9.457236192179e+13       8.450985469153e-26       4.900357453153e-09       1.929694345585e+22       1.409911927564e+04       1.490828714556e-10       1.333387010914e+18       2.829535088726e-09       2.201080945604e+44       2.108308775547e+33       1.127554078596e+34       3.760732865345e-08       1.522639321645e+44       3.723720267383e+44       1.128682761357e+31       6.004701613755e-18       2.000000000007e+00 
       9.391495722125e+13       8.569713364009e-26       4.934918251820e-09       1.902959665248e+22       1.409911927564e+04       1.501264515558e-10       1.324118183629e+18       2.849341834347e-09       2.140514292293e+44       2.064646977735e+33       1.104203116549e+34       3.760732865345e-08       1.480741195137e+44       3.621255487561e+44       1.105308424974e+31       6.089061666727e-18       2.000000000006e+00 
