# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3008, i.e. number of multipoles equal to 3007
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.102703064297e+03       3.495188255734e-02       0.000000000000e+00       2.840519391632e+00       4.929705159296e-08       3.197850178675e-03      -1.333853524479e-05 
    3       1.033599476080e+03       4.562174426725e-02       0.000000000000e+00       3.219880678785e+00       6.092045193915e-08       3.193630298355e-03      -1.438506405891e-05 
    4       9.704011181164e+02       4.028362869591e-02       0.000000000000e+00       3.028570710695e+00       7.054559468815e-08       3.112247209241e-03      -1.231750085283e-05 
    5       9.230044121612e+02       2.748551276117e-02       0.000000000000e+00       2.592498853039e+00       7.885130142069e-08       3.002675202127e-03      -8.583481294410e-06 
    6       8.896560344121e+02       1.563988315822e-02       0.000000000000e+00       2.096938264562e+00       8.608514609585e-08       2.883521206866e-03      -4.398414829748e-06 
    7       8.672330081763e+02       8.415746163295e-03       0.000000000000e+00       1.649904525092e+00       9.251525601873e-08       2.765192236433e-03      -7.243034752283e-07 
    8       8.533076851336e+02       5.272333290888e-03       0.000000000000e+00       1.299769526386e+00       9.828133808732e-08       2.652183121459e-03       1.834734733378e-06 
    9       8.452391344969e+02       4.164159793984e-03       0.000000000000e+00       1.059432065758e+00       1.034416295172e-07       2.545398154916e-03       3.056362534273e-06 
   10       8.417395217773e+02       3.570939273189e-03       0.000000000000e+00       9.202914108178e-01       1.080631683862e-07       2.445736891155e-03       3.058719194660e-06 
   11       8.418522850156e+02       3.009832028080e-03       0.000000000000e+00       8.621539412813e-01       1.090814783925e-07       2.365911059234e-03       2.211312503464e-06 
   12       8.445991157995e+02       2.580361698950e-03       0.000000000000e+00       8.615286809089e-01       1.126018187562e-07       2.273408726581e-03       9.537941763894e-07 
   13       8.493646249219e+02       2.413422706219e-03       0.000000000000e+00       8.968353224955e-01       1.157525082542e-07       2.189961753835e-03      -2.646836496882e-07 
   14       8.557552388236e+02       2.473377458786e-03       0.000000000000e+00       9.512098846036e-01       1.185778919410e-07       2.111961070401e-03      -1.134317205190e-06 
   15       8.636857922793e+02       2.651896195432e-03       0.000000000000e+00       1.012845423637e+00       1.211115615590e-07       2.032079634090e-03      -1.523710423178e-06 
   16       8.725415764595e+02       2.899853810795e-03       0.000000000000e+00       1.075226678806e+00       1.233831937363e-07       1.960235695041e-03      -1.443877398903e-06 
   17       8.823898152872e+02       3.249819987394e-03       0.000000000000e+00       1.136892660521e+00       1.254191156852e-07       1.894286178244e-03      -1.040035328475e-06 
   18       8.930809244375e+02       3.757831543947e-03       0.000000000000e+00       1.198697376432e+00       1.271923025441e-07       1.830398915248e-03      -5.234721257366e-07 
   19       9.046028870848e+02       4.437839170383e-03       0.000000000000e+00       1.262488908315e+00       1.288706397929e-07       1.769975662162e-03      -5.575573039749e-08 
   20       9.166123552154e+02       5.282143646015e-03       0.000000000000e+00       1.330196995034e+00       1.303156558453e-07       1.711631792209e-03       2.025353003628e-07 
   21       9.291929661659e+02       6.280280229561e-03       0.000000000000e+00       1.402016784577e+00       1.316136235017e-07       1.657240942220e-03       2.123804819875e-07 
   22       9.423181801968e+02       7.418555964201e-03       0.000000000000e+00       1.477019264449e+00       1.327398504824e-07       1.607272467006e-03       1.363528693228e-08 
   23       9.559501161765e+02       8.699480831561e-03       0.000000000000e+00       1.553118346769e+00       1.337636470716e-07       1.560564830772e-03      -3.121375891956e-07 
   24       9.698962400889e+02       1.012845095510e-02       0.000000000000e+00       1.627400866686e+00       1.346371674481e-07       1.513837116509e-03      -6.419493437434e-07 
   25       9.842068457315e+02       1.170287723613e-02       0.000000000000e+00       1.697228453885e+00       1.354138232249e-07       1.468934172673e-03      -8.894399970191e-07 
   26       9.988858735618e+02       1.341919419566e-02       0.000000000000e+00       1.760022411507e+00       1.360716830824e-07       1.428229397894e-03      -9.845891818875e-07 
   27       1.013909170842e+03       1.529002836920e-02       0.000000000000e+00       1.814643966445e+00       1.366374216457e-07       1.390366704748e-03      -9.355657198031e-07 
   28       1.029173203219e+03       1.733342026690e-02       0.000000000000e+00       1.860591157666e+00       1.370756597230e-07       1.351975613557e-03      -7.913330892927e-07 
   29       1.044721334036e+03       1.956214698980e-02       0.000000000000e+00       1.898121551884e+00       1.374585046637e-07       1.313785174054e-03      -5.971033296556e-07 
   30       1.060550330634e+03       2.198793283644e-02       0.000000000000e+00       1.927983112561e+00       1.378058022820e-07       1.277556335940e-03      -4.136068292122e-07 
   31       1.076578162724e+03       2.462208695670e-02       0.000000000000e+00       1.951050273879e+00       1.380381987697e-07       1.244436697769e-03      -3.098054417593e-07 
   32       1.092832306238e+03       2.747155164254e-02       0.000000000000e+00       1.967402870472e+00       1.381998112233e-07       1.214385114920e-03      -2.965711599345e-07 
   33       1.109312028858e+03       3.054126356450e-02       0.000000000000e+00       1.976912863473e+00       1.383187922225e-07       1.186101637934e-03      -3.586436653636e-07 
   34       1.125968078565e+03       3.383563409035e-02       0.000000000000e+00       1.979306724972e+00       1.383595519830e-07       1.157653666481e-03      -4.699005248694e-07 
   35       1.142837474390e+03       3.736046640548e-02       0.000000000000e+00       1.973556528976e+00       1.383533500089e-07       1.129214656531e-03      -5.988088343261e-07 
   36       1.159943257267e+03       4.112162384362e-02       0.000000000000e+00       1.958253694877e+00       1.383065676802e-07       1.101444660520e-03      -7.025935120169e-07 
   37       1.177273226266e+03       4.512471359635e-02       0.000000000000e+00       1.932015839507e+00       1.381803433408e-07       1.074783854499e-03      -7.370407251287e-07 
   38       1.194850809250e+03       4.937585814258e-02       0.000000000000e+00       1.894392209880e+00       1.380123590112e-07       1.049537598897e-03      -7.038130708567e-07 
   39       1.212678699483e+03       5.388113858602e-02       0.000000000000e+00       1.845252866571e+00       1.378378240427e-07       1.025722282106e-03      -6.249106399492e-07 
   40       1.230713955614e+03       5.864636641311e-02       0.000000000000e+00       1.784552816469e+00       1.376437884989e-07       1.002955984308e-03      -5.325834230376e-07 
   41       1.248894215485e+03       6.367702343539e-02       0.000000000000e+00       1.712332533385e+00       1.373841232665e-07       9.806537448308e-04      -4.621140485377e-07 
   42       1.267237738276e+03       6.897809908779e-02       0.000000000000e+00       1.628707361563e+00       1.370809753968e-07       9.589243893411e-04      -4.222334676179e-07 
   43       1.285768131258e+03       7.455417146920e-02       0.000000000000e+00       1.533883318241e+00       1.367592073256e-07       9.379755646550e-04      -4.128698983596e-07 
   44       1.304483847076e+03       8.040942613832e-02       0.000000000000e+00       1.428166154658e+00       1.364114564644e-07       9.178474936746e-04      -4.323788113840e-07 
   45       1.323370531261e+03       8.654766367128e-02       0.000000000000e+00       1.311799158350e+00       1.360102210532e-07       8.984684350432e-04      -4.772949733611e-07 
   46       1.342448393625e+03       9.297237238541e-02       0.000000000000e+00       1.184407471153e+00       1.355792297740e-07       8.799335144845e-04      -5.420690091233e-07 
   47       1.361734720707e+03       9.968664317282e-02       0.000000000000e+00       1.045395775444e+00       1.351462240536e-07       8.622923442084e-04      -6.187973808790e-07 
   48       1.381228626518e+03       1.066931257110e-01       0.000000000000e+00       8.940961388296e-01       1.347190176124e-07       8.454486686417e-04      -6.969382725799e-07 
   49       1.400909393367e+03       1.139940099593e-01       0.000000000000e+00       7.297631778910e-01       1.342794465152e-07       8.291363151186e-04      -7.630138242735e-07 
   50       1.420749539088e+03       1.215909666326e-01       0.000000000000e+00       5.517356256174e-01       1.337951836195e-07       8.130286592702e-04      -8.043512770297e-07 
   51       1.440762049538e+03       1.294849925012e-01       0.000000000000e+00       3.599839553976e-01       1.332800132767e-07       7.971816501501e-04      -8.228787093068e-07 
   52       1.460963098838e+03       1.376764911151e-01       0.000000000000e+00       1.547030436044e-01       1.327537365672e-07       7.817249442682e-04      -8.263340867205e-07 
   53       1.481357500256e+03       1.461652902073e-01       0.000000000000e+00      -6.383831883357e-02       1.322231912688e-07       7.667334164779e-04      -8.249224439343e-07 
   54       1.501937740039e+03       1.549506212605e-01       0.000000000000e+00      -2.952944319260e-01       1.316786943514e-07       7.522175553234e-04      -8.315720220072e-07 
   55       1.522692606999e+03       1.640312922236e-01       0.000000000000e+00      -5.393509149126e-01       1.311023135479e-07       7.381517861655e-04      -8.586602931632e-07 
   56       1.543637805108e+03       1.734063027209e-01       0.000000000000e+00      -7.960877358703e-01       1.305073542556e-07       7.245960172131e-04      -9.061110684663e-07 
   57       1.564791253404e+03       1.830743458828e-01       0.000000000000e+00      -1.065701121343e+00       1.299111108180e-07       7.116011085254e-04      -9.693834639885e-07 
