# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2508, i.e. number of multipoles equal to 2507
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.102706560150e+03       3.495373897505e-02       1.856416220106e-06       2.840519361690e+00       4.929705159296e-08       3.197850178675e-03      -1.333853524479e-05 
    3       1.033606451985e+03       4.562545711915e-02       3.712837183143e-06       3.219880545299e+00       6.092045193915e-08       3.193630298355e-03      -1.438506405891e-05 
    4       9.704127099233e+02       4.028981687127e-02       6.188102950948e-06       3.028570326950e+00       7.054559468815e-08       3.112247209241e-03      -1.231750085283e-05 
    5       9.230217357889e+02       2.749479531225e-02       9.282302746571e-06       2.592497978304e+00       7.885130142069e-08       3.002675202127e-03      -8.583481294410e-06 
    6       8.896801818097e+02       1.565287945176e-02       1.299561503465e-05       2.096936543338e+00       8.608514609585e-08       2.883521206866e-03      -4.398414829748e-06 
    7       8.672650438669e+02       8.433076091542e-03       1.732834603352e-05       1.649901468048e+00       9.251525601873e-08       2.765192236433e-03      -7.243034752283e-07 
    8       8.533486434096e+02       5.294617541075e-03       2.228097021466e-05       1.299764493243e+00       9.828133808732e-08       2.652183121459e-03       1.834734733378e-06 
    9       8.452900173134e+02       4.192020169292e-03       2.785417015454e-05       1.059424250300e+00       1.034416295172e-07       2.545398154916e-03       3.056362534273e-06 
   10       8.418012973682e+02       3.604999052681e-03       3.404887303537e-05       9.202798281849e-01       1.080631683862e-07       2.445736891155e-03       3.058719194660e-06 
   11       8.419258872314e+02       3.050716347900e-03       4.086628115973e-05       8.621374176141e-01       1.090814783925e-07       2.365911059234e-03       2.211312503464e-06 
   12       8.446854441421e+02       2.628697932714e-03       4.830789405039e-05       8.615058453869e-01       1.126018187562e-07       2.273408726581e-03       9.537941763894e-07 
   13       8.494645452294e+02       2.469840819361e-03       5.637552004124e-05       8.968046017467e-01       1.157525082542e-07       2.189961753835e-03      -2.646836496882e-07 
   14       8.558695845380e+02       2.538510309775e-03       6.507127571531e-05       9.511694994246e-01       1.185778919410e-07       2.111961070401e-03      -1.134317205190e-06 
   15       8.638153662108e+02       2.726379756577e-03       7.439757209177e-05       1.012793387924e+00       1.211115615590e-07       2.032079634090e-03      -1.523710423178e-06 
   16       8.726871529487e+02       2.984327282784e-03       8.435708708096e-05       1.075160800563e+00       1.233831937363e-07       1.960235695041e-03      -1.443877398903e-06 
   17       8.825521426552e+02       3.344925784865e-03       9.495272438799e-05       1.136810544795e+00       1.254191156852e-07       1.894286178244e-03      -1.040035328475e-06 
   18       8.932607276601e+02       3.864215148110e-03       1.061875671654e-04       1.198596430063e+00       1.271923025441e-07       1.830398915248e-03      -5.234721257366e-07 
   19       9.048008702666e+02       4.556148752733e-03       1.180647758088e-04       1.262366345993e+00       1.288706397929e-07       1.769975662162e-03      -5.575573039749e-08 
   20       9.168292045686e+02       5.413029676090e-03       1.305875939237e-04       1.330049847410e+00       1.303156558453e-07       1.711631792209e-03       2.025353003628e-07 
   21       9.294293520573e+02       6.424394745839e-03       1.437591656470e-04       1.401841906750e+00       1.316136235017e-07       1.657240942220e-03       2.123804819875e-07 
   22       9.425747597684e+02       7.576551846728e-03       1.575825508844e-04       1.476813346635e+00       1.327398504824e-07       1.607272467006e-03       1.363528693228e-08 
   23       9.562275347424e+02       8.872010826144e-03       1.720605472051e-04       1.552877924870e+00       1.337636470716e-07       1.560564830772e-03      -3.121375891956e-07 
   24       9.701951331112e+02       1.031616669398e-02       1.871957041936e-04       1.627122335113e+00       1.346371674481e-07       1.513837116509e-03      -6.419493437434e-07 
   25       9.845278392358e+02       1.190642814857e-02       2.029901616726e-04       1.696908077913e+00       1.354138232249e-07       1.468934172673e-03      -8.894399970191e-07 
   26       9.992295852651e+02       1.363922637662e-02       2.194456626664e-04       1.759656342052e+00       1.360716830824e-07       1.428229397894e-03      -9.845891818875e-07 
   27       1.014276209839e+03       1.552718347355e-02       2.365634395162e-04       1.814228254603e+00       1.366374216457e-07       1.390366704748e-03      -9.355657198031e-07 
   28       1.029564170119e+03       1.758833441076e-02       2.543442264847e-04       1.860121771446e+00       1.370756597230e-07       1.351975613557e-03      -7.913330892927e-07 
   29       1.045136819083e+03       1.983545014156e-02       2.727882521409e-04       1.897594392404e+00       1.374585046637e-07       1.313785174054e-03      -5.971033296556e-07 
   30       1.060990913192e+03       2.228024777328e-02       2.918951772520e-04       1.927394033208e+00       1.378058022820e-07       1.277556335940e-03      -4.136068292122e-07 
   31       1.077044410702e+03       2.493402836806e-02       3.116641262247e-04       1.950395101159e+00       1.380381987697e-07       1.244436697769e-03      -3.098054417593e-07 
   32       1.093324773377e+03       2.780372646350e-02       3.320939421513e-04       1.966677425049e+00       1.381998112233e-07       1.214385114920e-03      -2.965711599345e-07 
   33       1.109831253108e+03       3.089427047684e-02       3.531829581128e-04       1.976112983333e+00       1.383187922225e-07       1.186101637934e-03      -3.586436653636e-07 
   34       1.126514580702e+03       3.421006311705e-02       3.749290441446e-04       1.978428290659e+00       1.383595519830e-07       1.157653666481e-03      -4.699005248694e-07 
   35       1.143411756099e+03       3.775690003199e-02       3.973301350134e-04       1.972595491617e+00       1.383533500089e-07       1.129214656531e-03      -5.988088343261e-07 
   36       1.160545799288e+03       4.154063715362e-02       4.203838408863e-04       1.957206104693e+00       1.383065676802e-07       1.101444660520e-03      -7.025935120169e-07 
   37       1.177904487020e+03       4.556687447902e-02       4.440875614443e-04       1.930877876583e+00       1.381803433408e-07       1.074783854499e-03      -7.370407251287e-07 
   38       1.195511225218e+03       4.984172907300e-02       4.684394344318e-04       1.893160220440e+00       1.380123590112e-07       1.049537598897e-03      -7.038130708567e-07 
   39       1.213368684172e+03       5.437127742056e-02       4.934376870687e-04       1.843923398029e+00       1.378378240427e-07       1.025722282106e-03      -6.249106399492e-07 
   40       1.231433897892e+03       5.916132683236e-02       5.190803824149e-04       1.783122652916e+00       1.376437884989e-07       1.002955984308e-03      -5.325834230376e-07 
   41       1.249644478991e+03       6.421735557641e-02       5.453657414105e-04       1.710798733890e+00       1.373841232665e-07       9.806537448308e-04      -4.621140485377e-07 
   42       1.268018664781e+03       6.954435068851e-02       5.722932340462e-04       1.627067304375e+00       1.370809753968e-07       9.589243893411e-04      -4.222334676179e-07 
   43       1.286580041149e+03       7.514688875843e-02       5.998628441306e-04       1.532134743549e+00       1.367592073256e-07       9.379755646550e-04      -4.128698983596e-07 
   44       1.305327038710e+03       8.102915466697e-02       6.280748004689e-04       1.426307207764e+00       1.364114564644e-07       9.178474936746e-04      -4.323788113840e-07 
   45       1.324245281583e+03       8.719494841533e-02       6.569297257354e-04       1.309828432852e+00       1.360102210532e-07       8.984684350432e-04      -4.772949733611e-07 
   46       1.343354963158e+03       9.364775525483e-02       6.864290825871e-04       1.182324048362e+00       1.355792297740e-07       8.799335144845e-04      -5.420690091233e-07 
   47       1.362673355402e+03       1.003906624468e-01       7.165748995955e-04       1.043199269163e+00       1.351462240536e-07       8.622923442084e-04      -6.187973808790e-07 
   48       1.382199558444e+03       1.074263162148e-01       7.473696859113e-04       8.917867430996e-01       1.347190176124e-07       8.454486686417e-04      -6.969382725799e-07 
   49       1.401912841424e+03       1.147569032589e-01       7.788164612649e-04       7.273417162514e-01       1.342794465152e-07       8.291363151186e-04      -7.630138242735e-07 
   50       1.421785710144e+03       1.223840897423e-01       8.109185397314e-04       5.492035944871e-01       1.337951836195e-07       8.130286592702e-04      -8.043512770297e-07 
