# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.02334e-05 to 10.5702 h/Mpc,
# number of wavenumbers equal to 615
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       1.023340883697e-05       3.185128719836e+10       3.185128719476e+10       4.246836213731e+10       4.246836160728e+10       0.000000000000e+00       3.185440711382e+10 
       2.280319633852e-05       6.430223061052e+09       6.430223056439e+09       8.573557728592e+09       8.573556082970e+09       0.000000000000e+00       6.430852896898e+09 
       3.541517366139e-05       2.677287389913e+09       2.677287382690e+09       3.569549375322e+09       3.569545699723e+09       0.000000000000e+00       2.677549586951e+09 
       4.810165140770e-05       1.460236659768e+09       1.460236648167e+09       1.946678292329e+09       1.946671658472e+09       0.000000000000e+00       1.460379602057e+09 
       6.089545006924e-05       9.184829799682e+08       9.184829614065e+08       1.224158130238e+09       1.224147545008e+09       0.000000000000e+00       9.185728009336e+08 
       7.383017876129e-05       6.310957169504e+08       6.310956909436e+08       8.407523723296e+08       8.407370042720e+08       0.000000000000e+00       6.311573203216e+08 
       8.694052247148e-05       4.605604728841e+08       4.605604383019e+08       6.131059543815e+08       6.130849171741e+08       0.000000000000e+00       4.606052916192e+08 
       1.002625414751e-04       3.511561475275e+08       3.511561013725e+08       4.669185707919e+08       4.668908351271e+08       0.000000000000e+00       3.511901546082e+08 
       1.138339865973e-04       2.768060998048e+08       2.768060398734e+08       3.674220194959e+08       3.673866190581e+08       0.000000000000e+00       2.768327142569e+08 
       1.276946340341e-04       2.239852650104e+08       2.239851919417e+08       2.965878893834e+08       2.965440648401e+08       0.000000000000e+00       2.240065830131e+08 
       1.418866434560e-04       1.851321051614e+08       1.851320164230e+08       2.443252279323e+08       2.442719937290e+08       0.000000000000e+00       1.851494790515e+08 
       1.564549430856e-04       1.557357366503e+08       1.557356272492e+08       2.046125934247e+08       2.045488151059e+08       0.000000000000e+00       1.557500744587e+08 
       1.714476453167e-04       1.329584433389e+08       1.329583131130e+08       1.736752283591e+08       1.736001264869e+08       0.000000000000e+00       1.329703785708e+08 
       1.869164961837e-04       1.149634346596e+08       1.149632811814e+08       1.490573620546e+08       1.489700367817e+08       0.000000000000e+00       1.149734185433e+08 
